R,V,E
330,20579759260742,182023541.171875
331,20893445872832,161355715.99609375
332,21211086497312,280682543.28125
333,21532246599832,70797101.4453125
334,21857691058914,261695839.9375
335,22186723808044,122220040.1640625
336,22520043303204,315522716.50390625
337,22856979990534,136535647.26171875
338,23198187678206,203340617.63671875
339,23543316937896,130570260.7109375
340,23892804779096,319081738.4140625
341,24246102180746,183487742.4921875
342,24603710645306,188709935.48046875
343,24965464218346,131997909.69140625
344,25331694028106,307468116.171875
345,25701828552948,106370685.6875
346,26076624517278,247984719.671875
347,26455514630360,127356473.234375
348,26839111117760,318830168.109375
349,27226799180650,169506665.62890625
350,27619202429090,264676117.71484375
351,28015891466530,136401837.828125
352,28417461812322,341442181.95703125
353,28823227676292,155024489.58203125
354,29233940366334,289252046.65625
355,29649048422944,153237988.57421875
356,30069190096096,345581545.14453125
357,30493614819386,75841553.55859375
358,30923265575676,246901471.37109375
359,31357552038486,228110137.4765625
360,31796881293246,386002393.0625
361,32240767541798,194002952.60546875
362,32689874385408,274708784.83203125
363,33143720864688,105928403.6953125
364,33603008157288,347378929.3359375
365,34066930509290,151616851.078125
366,34536325400660,314202848.38671875
367,35010561668070,161823981.8359375
368,35490386144790,398932954.09375
369,35974983196742,167283532.90625
370,36465237291552,308498972.015625
371,36960560904882,191977712.21875
372,37461563337594,383709914.265625
373,37967602848164,198409241.8515625
374,38479418058206,330917754.6328125
375,38996380498726,108751531.140625
376,39519454420326,451910241.78125
377,40047500930136,177013449.8125
378,40581549528496,268836662.3203125
379,41121151209306,233411049.15625
380,41666720282266,439845051.953125
381,42217598014748,183965625.09375
382,42774651487638,287173446.625
383,43337380467648,203314599.3515625
384,43906340882088,442154711.65625
385,44480756153378,180712838.609375
386,45061607892988,353954770.8515625
387,45648123185460,142076425.6015625
388,46241261335660,457250467.640625
389,46840028759190,258516090.2578125
390,47445246180512,318976508.25
391,48056563221322,240386700.8671875
392,48674451510562,446262792.796875
393,49298130029292,107226295.1484375
394,49928837415102,413307886.421875
395,50565472398952,214383621.4609375
396,51209084673384,511042512.4296875
397,51858668798994,248492369.8515625
398,52515181929364,334284103.453125
399,53178079684406,174184435.2734375
400,53848139654406,495679312.5390625
401,54524410450728,297023980.6796875
402,55207717040978,352577516.296875
403,55897663417068,215470260.140625
404,56594950006468,535014438.0625
405,57298463095260,146126584.0
406,58009626549070,421047840.9765625
407,58727354862952,222393214.015625
408,59452674932952,524922503.171875
409,60184597492242,286975806.46875
410,60924068795084,402156852.875
411,61670524740334,253455875.3125
412,62424684766454,507143991.5546875
413,63185644188064,205109125.296875
414,63954517189216,407848649.046875
415,64730535105506,292750865.125
416,65514483568658,591238958.6640625
417,66305284089228,170353070.5546875
418,67104349575838,388268900.40625
419,67910775222200,285184099.5546875
420,68725339731080,584541604.0078125
421,69547104299010,292013715.421875
422,70377184721460,467606642.109375
423,71214671441180,145708209.9375
424,72060954048540,659587571.40625
425,72914357233772,277346816.46875
426,73776382033502,443166873.71875
427,74646196793672,268269801.140625
428,75524640664304,534412919.234375
429,76410770166594,240455273.9375
430,77305741121884,484285977.5625
431,78208739093174,393265089.828125
432,79120461013086,605850950.828125
433,80040152972856,309388541.953125
434,80968859688338,489574858.90625
435,81905637583988,143542264.703125
436,82851923039828,648104822.53125
437,83806004515030,231881248.890625
438,84769486939040,439685406.390625
439,85741516712530,357526624.84375
440,86722901809690,732711362.234375
441,87712390100442,252164787.59375
442,88711616965492,490045202.09375
443,89719530650022,333097099.9375
444,90737186866662,775253509.375
445,91763073858104,242697975.65625
446,92799069440434,550907261.984375
447,93843720547884,184195470.546875
448,94898629236364,681716943.453125
449,95962248498494,433280663.671875
450,97035681178886,478264906.09375
451,98118565068336,390710798.40625
452,99211451251608,657669474.109375
453,100313408577378,283671385.5625
454,101425762315140,529382578.796875
455,102547452663230,270112086.609375
456,103679845975030,807037501.546875
457,104821189306360,321751736.765625
458,105973312720450,578567367.109375
459,107135012748482,307976540.078125
460,108307664146962,818407716.703125
461,109489624448364,400775684.625
462,110682361647214,456167011.015625
463,111885294089024,335728345.609375
464,113099267059584,817255081.546875
465,114322637217914,189623676.515625
466,115557695245084,675439841.578125
467,116802631877374,397071070.25
468,118058911976526,750716259.40625
469,119325338304096,470179430.265625
470,120603035260458,610608101.390625
471,121891205690788,305298641.625
472,123191107975540,742786115.15625
473,124501182938790,293751994.296875
474,125823208965320,666140612.703125
475,127155789763640,392921556.125
476,128500360746440,838469483.53125
477,129855222782272,232315178.03125
478,131222533216042,660165407.796875
479,132600694804484,452837769.15625
480,133991123638364,954182259.4375
481,135392213491686,485429852.015625
482,136805594764256,604134429.265625
483,138230226537746,196228215.546875
484,139667764777666,844223118.140625
485,141116192603516,457480248.3125
486,142577272464108,724384612.125
487,144049837710598,403917511.625
488,145535351018990,884078417.59375
489,147032034588040,312082242.6875
490,148541918319792,642539246.34375
491,150063707561602,505196427.71875
492,151598506797202,928627958.71875
493,153144881646572,402234425.03125
494,154704778116462,795492716.875
495,156276464814574,300169580.1875
496,157862101312254,998683677.65625
497,159459294804136,420764601.34375
498,161070134711986,578056086.0
499,162693771908108,543338783.96875
